Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Model number (product.metafields.custom.model_number),Application (product.metafields.custom.applications),Specifications (product.metafields.custom.specifications),Features (product.metafields.custom.features),Source slug (product.metafields.custom.source_slug)
"pse-147-7-8","8-Cylinder Welding Cage","<p>A secure vertical cage sized for eight 147.7 lb welding cylinders.</p><h3>Applications</h3><p>Welding shops, fabrication facilities, maintenance departments, and construction operations.</p>","Pro Steel Equipment","","Gas Cages & Carriers","migration-2026, gas-cage, Welding","FALSE","Title","Default Title","PSE 147.7-8","shopify","deny","manual","1520","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/gas/pse-147-7-8.webp","1","ProSteel cage for eight welding cylinders","draft","PSE 147.7-8","Welding shops, fabrication facilities, maintenance departments, and construction operations.","<ul><li><strong>Cylinder:</strong> 147.7 lb welding tank</li><li><strong>Capacity:</strong> 8 cylinders</li><li><strong>Height:</strong> 72 in</li><li><strong>Width:</strong> 52 in</li><li><strong>Depth:</strong> 27.5 in</li></ul>","<ul><li>Exceptional solid metal fabrication</li><li>Meticulously primed and painted for severe weather exposure</li><li>Safety signage positioned at the top of the cage</li><li>Built for maximum durability</li><li>Backed by ProSteel's lifetime warranty</li></ul>","pse-147-7-8"
"pse-147-7-20","20-Cylinder Welding Cage","<p>The highest-capacity welding-cylinder cage in the catalogue, configured for twenty 147.7 lb tanks.</p><h3>Applications</h3><p>High-volume fabrication, industrial gas storage, major construction projects, and distribution sites.</p>","Pro Steel Equipment","","Gas Cages & Carriers","migration-2026, gas-cage, Welding","FALSE","Title","Default Title","PSE 147.7-20","shopify","deny","manual","1955","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/gas/pse-147-7-20.webp","1","Large ProSteel cage for twenty welding cylinders","draft","PSE 147.7-20","High-volume fabrication, industrial gas storage, major construction projects, and distribution sites.","<ul><li><strong>Cylinder:</strong> 147.7 lb welding tank</li><li><strong>Capacity:</strong> 20 cylinders</li><li><strong>Height:</strong> 72 in</li><li><strong>Width:</strong> 64 in</li><li><strong>Depth:</strong> 40 in</li></ul>","<ul><li>Exceptional solid metal fabrication</li><li>Meticulously primed and painted for severe weather exposure</li><li>Safety signage positioned at the top of the cage</li><li>Built for maximum durability</li><li>Backed by ProSteel's lifetime warranty</li></ul>","pse-147-7-20"
"pse-147-7-16","16-Cylinder Welding Cage","<p>A durable full-height enclosure for sixteen large welding cylinders.</p><h3>Applications</h3><p>Fabrication facilities, industrial gas programs, maintenance operations, and manufacturing plants.</p>","Pro Steel Equipment","","Gas Cages & Carriers","migration-2026, gas-cage, Welding","FALSE","Title","Default Title","PSE 147.7-16","shopify","deny","manual","1350","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/gas/pse-147-7-16.webp","1","Green ProSteel cage for sixteen welding cylinders","draft","PSE 147.7-16","Fabrication facilities, industrial gas programs, maintenance operations, and manufacturing plants.","<ul><li><strong>Cylinder:</strong> 147.7 lb welding tank</li><li><strong>Capacity:</strong> 16 cylinders</li><li><strong>Height:</strong> 73 in</li><li><strong>Width:</strong> 45 in</li><li><strong>Depth:</strong> 35 in</li></ul>","<ul><li>Exceptional solid metal fabrication</li><li>Meticulously primed and painted for severe weather exposure</li><li>Safety signage positioned at the top of the cage</li><li>Built for maximum durability</li><li>Backed by ProSteel's lifetime warranty</li></ul>","pse-147-7-16"
"pse-al-147-7-16","Aluminum Oxygen Cylinder Cage","<p>A laser-cut aluminum cage designed for secure storage of eight 135 lb oxygen cylinders.</p><h3>Applications</h3><p>Hospitals, medical facilities, laboratories, clinics, and industrial oxygen-cylinder storage.</p>","Pro Steel Equipment","","Gas Cages & Carriers","migration-2026, gas-cage, Medical Gas, featured","FALSE","Title","Default Title","PSE AL 147.7-16","shopify","deny","manual","1750","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/gas/pse-al-147-7-16.webp","1","Laser-cut aluminum ProSteel oxygen cylinder cage","draft","PSE AL 147.7-16","Hospitals, medical facilities, laboratories, clinics, and industrial oxygen-cylinder storage.","<ul><li><strong>Cylinder:</strong> 135 lb oxygen tank</li><li><strong>Capacity:</strong> 8 cylinders</li><li><strong>Height:</strong> 76 in</li><li><strong>Width:</strong> 31 in</li><li><strong>Depth:</strong> 27 in</li></ul>","<ul><li>Laser-cut aluminum sheet construction</li><li>Safety signage positioned at the top of the cage</li><li>Built for maximum durability</li><li>Backed by ProSteel's lifetime warranty</li></ul>","pse-al-147-7-16"
"economy-a-frame","Economy A-Frame","<p>A double-sided slab rack for stone, wood, and glass with a high rated capacity on each side.</p><h3>Applications</h3><p>Stone shops, glass operations, wood panel handling, fabrication facilities, and warehouse storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, A-Frame, featured","FALSE","Title","Default Title","Economy A-Frame","shopify","deny","manual","550","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/economy-a-frame.webp","1","Orange Economy A-Frame holding stone slabs","draft","Economy A-Frame","Stone shops, glass operations, wood panel handling, fabrication facilities, and warehouse storage.","<ul><li><strong>Capacity:</strong> 12,000 lb per side</li><li><strong>Dimensions:</strong> 60 L x 60 W x 58 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Base:</strong> 3 in U-channel</li></ul>","<ul><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","economy-a-frame"
"single-sided-a-frame","Single-Sided A-Frame","<p>A wall-oriented single-sided rack providing high-capacity slab support where floor space is limited.</p><h3>Applications</h3><p>Stone showrooms, glass shops, warehouses, and wall-side material storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, A-Frame","FALSE","Title","Default Title","Single-Sided A-Frame","shopify","deny","manual","490","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/single-sided-a-frame.webp","1","Single-sided A-frame with stone samples","draft","Single-Sided A-Frame","Stone showrooms, glass shops, warehouses, and wall-side material storage.","<ul><li><strong>Capacity:</strong> 12,000 lb</li><li><strong>Dimensions:</strong> 48 W x 60 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Base:</strong> 3 in U-channel</li></ul>","<ul><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","single-sided-a-frame"
"heavy-duty-a-frame","Heavy Duty A-Frame","<p>A robust double-sided A-frame developed for demanding slab and panel storage.</p><h3>Applications</h3><p>Stone, glass, architectural millwork, manufacturing, and heavy panel storage.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, A-Frame, featured","FALSE","Title","Default Title","Heavy Duty A-Frame","shopify","deny","manual","1450","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/heavy-duty-a-frame.webp","1","Heavy-duty A-frame rack in a production facility","draft","Heavy Duty A-Frame","Stone, glass, architectural millwork, manufacturing, and heavy panel storage.","<ul><li><strong>Capacity:</strong> 12,000 lb per side</li><li><strong>Dimensions:</strong> 72 L x 48 W x 48 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li></ul>","<ul><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","heavy-duty-a-frame"
"double-sided-transport-rack","Double-Sided Transport & Storage Rack","<p>A double-sided A-frame engineered to combine material storage with forklift transport.</p><h3>Applications</h3><p>Glass fabrication, stone operations, window and door manufacturing, and internal logistics.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Transport Rack, featured","FALSE","Title","Default Title","Double-Sided Transport Rack","shopify","deny","manual","1690","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/double-sided-transport-rack.webp","1","Double-sided rack transporting glass by forklift","draft","Double-Sided Transport Rack","Glass fabrication, stone operations, window and door manufacturing, and internal logistics.","<ul><li><strong>Capacity:</strong> 9,000 lb</li><li><strong>Dimensions:</strong> 96 L x 48 W x 60 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li></ul>","<ul><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","double-sided-transport-rack"
"modular-transport-rack","Metal Modular Transport Rack","<p>A modular rack designed for supported transport of slab and panel materials.</p><h3>Applications</h3><p>On-site delivery, stone and glass transport, fabrication shops, and field installation crews.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Transport Rack","FALSE","Title","Default Title","Modular Transport Rack","shopify","deny","manual","1250","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/modular-transport-rack.webp","1","Modular transport rack loaded on a pickup truck","draft","Modular Transport Rack","On-site delivery, stone and glass transport, fabrication shops, and field installation crews.","<ul><li><strong>Capacity:</strong> 7,600 lb per side</li><li><strong>Dimensions:</strong> 72 L x 48 W x 60 H in</li><li><strong>Frame:</strong> 2 x 2 in square pipe</li><li><strong>Base:</strong> 3 in U-channel</li></ul>","<ul><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","modular-transport-rack"
"mobile-a-frame","Mobile A-Frame Transport Rack","<p>A mobile A-frame that brings slab storage directly into the production workflow.</p><h3>Applications</h3><p>Stone fabrication, glass processing, production lines, staging, and shop-floor movement.</p>","Pro Steel Equipment","","Material Racks & Transport","migration-2026, material-rack, Mobile Rack, featured","FALSE","Title","Default Title","Mobile A-Frame","shopify","deny","manual","1800","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/racks/mobile-a-frame.webp","1","Blue mobile A-frame carrying stone slabs","draft","Mobile A-Frame","Stone fabrication, glass processing, production lines, staging, and shop-floor movement.","<ul><li><strong>Capacity:</strong> 7,000 lb per side</li><li><strong>Dimensions:</strong> 72 L x 48 W x 60 H in</li><li><strong>Frame:</strong> 1.5 x 1.5 in square pipe</li></ul>","<ul><li>Mobile caster-supported design</li><li>Full slab support design</li><li>Weather-resistant protective coating</li><li>Drainage holes in the base rails help reduce corrosion</li><li>Lean-back geometry supports stable material positioning</li><li>Custom sizes are available on request</li></ul>","mobile-a-frame"
